date;P_mm;Q_inf_LH;Q_ruiss_LH
2022-05-25 00:00:00;0.0;0.0;0.0
2022-05-25 00:02:00;0.0;0.0;0.0
2022-05-25 00:04:00;0.0;0.0;0.0
2022-05-25 00:06:00;0.0;0.0;0.0
2022-05-25 00:08:00;0.0;0.0;0.0
2022-05-25 00:10:00;0.0;1.2;0.0
2022-05-25 00:12:00;0.0;0.0;0.0
2022-05-25 00:14:00;0.0;0.0;0.0
2022-05-25 00:16:00;0.0;0.0;0.0
2022-05-25 00:18:00;0.0;0.0;0.0
2022-05-25 00:20:00;0.0;0.0;0.0
2022-05-25 00:22:00;0.0;0.0;0.0
2022-05-25 00:24:00;0.0;0.0;0.0
2022-05-25 00:26:00;0.0;0.0;0.0
2022-05-25 00:28:00;0.0;0.0;0.0
2022-05-25 00:30:00;0.0;0.0;0.0
2022-05-25 00:32:00;0.0;0.0;0.0
2022-05-25 00:34:00;0.0;1.2;0.0
2022-05-25 00:36:00;0.0;0.0;0.0
2022-05-25 00:38:00;0.0;0.0;0.0
2022-05-25 00:40:00;0.0;0.0;0.0
2022-05-25 00:42:00;0.0;0.0;0.0
2022-05-25 00:44:00;0.0;0.0;0.0
2022-05-25 00:46:00;0.0;0.0;0.0
2022-05-25 00:48:00;0.0;0.0;0.0
2022-05-25 00:50:00;0.0;0.0;0.0
2022-05-25 00:52:00;0.0;0.0;0.0
2022-05-25 00:54:00;0.0;0.0;0.0
2022-05-25 00:56:00;0.0;0.0;0.0
2022-05-25 00:58:00;0.0;0.0;0.0
2022-05-25 01:00:00;0.0;0.0;0.0
2022-05-25 01:02:00;0.0;1.2;0.0
2022-05-25 01:04:00;0.0;0.0;0.0
2022-05-25 01:06:00;0.0;0.0;0.0
2022-05-25 01:08:00;0.0;0.0;0.0
2022-05-25 01:10:00;0.0;0.0;0.0
2022-05-25 01:12:00;0.0;0.0;0.0
2022-05-25 01:14:00;0.0;0.0;0.0
2022-05-25 01:16:00;0.0;0.0;0.0
2022-05-25 01:18:00;0.0;0.0;0.0
2022-05-25 01:20:00;0.0;0.0;0.0
2022-05-25 01:22:00;0.0;0.0;0.0
2022-05-25 01:24:00;0.0;0.0;0.0
2022-05-25 01:26:00;0.0;0.0;0.0
2022-05-25 01:28:00;0.0;0.0;0.0
2022-05-25 01:30:00;0.0;0.0;0.0
2022-05-25 01:32:00;0.0;1.2;0.0
2022-05-25 01:34:00;0.0;0.0;0.0
2022-05-25 01:36:00;0.0;0.0;0.0
2022-05-25 01:38:00;0.0;0.0;0.0
2022-05-25 01:40:00;0.0;0.0;0.0
2022-05-25 01:42:00;0.0;0.0;0.0
2022-05-25 01:44:00;0.0;0.0;0.0
2022-05-25 01:46:00;0.0;0.0;0.0
2022-05-25 01:48:00;0.0;0.0;0.0
2022-05-25 01:50:00;0.0;0.0;0.0
2022-05-25 01:52:00;0.0;0.0;0.0
2022-05-25 01:54:00;0.0;0.0;0.0
2022-05-25 01:56:00;0.0;0.0;0.0
2022-05-25 01:58:00;0.0;0.0;0.0
2022-05-25 02:00:00;0.0;0.0;0.0
2022-05-25 02:02:00;0.0;0.0;0.0
2022-05-25 02:04:00;0.0;0.0;0.0
2022-05-25 02:06:00;0.0;0.0;0.0
2022-05-25 02:08:00;0.0;0.0;0.0
2022-05-25 02:10:00;0.0;1.2;0.0
2022-05-25 02:12:00;0.0;0.0;0.0
2022-05-25 02:14:00;0.0;0.0;0.0
2022-05-25 02:16:00;0.0;0.0;0.0
2022-05-25 02:18:00;0.0;0.0;0.0
2022-05-25 02:20:00;0.0;0.0;0.0
2022-05-25 02:22:00;0.0;0.0;0.0
2022-05-25 02:24:00;0.0;0.0;0.0
2022-05-25 02:26:00;0.0;0.0;0.0
2022-05-25 02:28:00;0.0;0.0;0.0
2022-05-25 02:30:00;0.0;0.0;0.0
2022-05-25 02:32:00;0.0;0.0;0.0
2022-05-25 02:34:00;0.0;0.0;0.0
2022-05-25 02:36:00;0.0;0.0;0.0
2022-05-25 02:38:00;0.0;0.0;0.0
2022-05-25 02:40:00;0.0;0.0;0.0
2022-05-25 02:42:00;0.0;0.0;0.0
2022-05-25 02:44:00;0.0;0.0;0.0
2022-05-25 02:46:00;0.0;0.0;0.0
2022-05-25 02:48:00;0.0;0.0;0.0
2022-05-25 02:50:00;0.0;0.0;0.0
2022-05-25 02:52:00;0.0;0.0;0.0
2022-05-25 02:54:00;0.0;0.0;0.0
2022-05-25 02:56:00;0.0;0.0;0.0
2022-05-25 02:58:00;0.0;0.0;0.0
2022-05-25 03:00:00;0.0;0.0;0.0
2022-05-25 03:02:00;0.0;0.0;0.0
2022-05-25 03:04:00;0.0;1.2;0.0
2022-05-25 03:06:00;0.0;0.0;0.0
2022-05-25 03:08:00;0.0;0.0;0.0
2022-05-25 03:10:00;0.0;0.0;0.0
2022-05-25 03:12:00;0.0;0.0;0.0
2022-05-25 03:14:00;0.0;0.0;0.0
2022-05-25 03:16:00;0.0;0.0;0.0
2022-05-25 03:18:00;0.0;0.0;0.0
2022-05-25 03:20:00;0.0;0.0;0.0
2022-05-25 03:22:00;0.0;0.0;0.0
2022-05-25 03:24:00;0.0;0.0;0.0
2022-05-25 03:26:00;0.0;0.0;0.0
2022-05-25 03:28:00;0.0;0.0;0.0
2022-05-25 03:30:00;0.0;0.0;0.0
2022-05-25 03:32:00;0.0;0.0;0.0
2022-05-25 03:34:00;0.0;0.0;0.0
2022-05-25 03:36:00;0.0;0.0;0.0
2022-05-25 03:38:00;0.0;0.0;0.0
2022-05-25 03:40:00;0.0;0.0;0.0
2022-05-25 03:42:00;0.0;0.0;0.0
2022-05-25 03:44:00;0.0;0.0;0.0
2022-05-25 03:46:00;0.0;0.0;0.0
2022-05-25 03:48:00;0.0;0.0;0.0
2022-05-25 03:50:00;0.0;0.0;0.0
2022-05-25 03:52:00;0.0;0.0;0.0
2022-05-25 03:54:00;0.0;0.0;0.0
2022-05-25 03:56:00;0.0;0.0;0.0
2022-05-25 03:58:00;0.0;0.0;0.0
2022-05-25 04:00:00;0.0;0.0;0.0
2022-05-25 04:02:00;0.0;0.0;0.0
2022-05-25 04:04:00;0.0;0.0;0.0
